nombre,sub_category,latitud,longitud,distance,city,category,ponder,geometry
Gleis 5/6,Platform,53.5526505019954,10.00704843410421,544,Hamburg,Train Station,0.08,POINT (10.00704843410421 53.5526505019954)
Gleis 1/2,Platform,53.55242498961892,10.007097613935375,567,Hamburg,Train Station,0.08,POINT (10.00709761393538 53.55242498961892)
Gleis 13/14,Platform,53.55214727956492,10.006377696990967,574,Hamburg,Train Station,0.08,POINT (10.00637769699097 53.55214727956492)
Gleis 11/12,Platform,53.55256324430746,10.006875387444758,547,Hamburg,Train Station,0.08,POINT (10.00687538744476 53.55256324430746)
Gleis 3/4,Platform,53.5524819536498,10.007100242510404,562,Hamburg,Train Station,0.08,POINT (10.0071002425104 53.5524819536498)
Bahnhof Hamburg Dammtor,Train Station,53.560949,9.989468,997,Hamburg,Train Station,0.08,POINT (9.989468 53.560949)
Gleis 3/4,Platform,53.56108986813567,9.989479582376301,1003,Hamburg,Train Station,0.08,POINT (9.989479582376301 53.56108986813567)
Atlantic Bar,Hotel Bar,53.55715552979616,10.004598471348444,116,Hamburg,Nightlife Spot,0.9,POINT (10.00459847134844 53.55715552979616)
Fontenay Bar,Hotel Bar,53.565352,9.998762,982,Hamburg,Nightlife Spot,0.9,POINT (9.998761999999999 53.565352)
Maliks,Bar,53.55513016152191,10.009639263153076,486,Hamburg,Nightlife Spot,0.9,POINT (10.00963926315308 53.55513016152191)
Alsterlagune,Bar,53.55345753,9.99666302,560,Hamburg,Nightlife Spot,0.9,POINT (9.99666302 53.55345753)
Tipsy Baker Bar,Cocktail Bar,53.558003772071494,9.989643983040544,885,Hamburg,Nightlife Spot,0.9,POINT (9.989643983040544 53.55800377207149)
barca - an der Alster,Restaurant,53.55851356439605,10.005615648642788,256,Hamburg,Nightlife Spot,0.9,POINT (10.00561564864279 53.55851356439605)
Toms Saloon,Gay Bar,53.55354602960898,10.01455843448639,855,Hamburg,Nightlife Spot,0.9,POINT (10.01455843448639 53.55354602960898)
S.L.U.T. Club Hamburg,Gay Bar,53.55625651371782,10.014248290028432,753,Hamburg,Nightlife Spot,0.9,POINT (10.01424829002843 53.55625651371782)
Emil's,Lounge,53.554752233884926,10.008351802825928,430,Hamburg,Nightlife Spot,0.9,POINT (10.00835180282593 53.55475223388493)
Neumanns Bistro & Weinbar,Wine Bar,53.55905732198548,10.013134181499481,719,Hamburg,Nightlife Spot,0.9,POINT (10.01313418149948 53.55905732198548)
Frau Möller,Pub,53.55885232822514,10.013241684062628,718,Hamburg,Nightlife Spot,0.9,POINT (10.01324168406263 53.55885232822514)
Casino Esplanade,Casino,53.55834757525646,9.989784616915077,882,Hamburg,Nightlife Spot,0.9,POINT (9.989784616915077 53.55834757525646)
ALEX,Café,53.55410512292068,9.992044506946822,781,Hamburg,Nightlife Spot,0.9,POINT (9.992044506946822 53.55410512292068)
Nagel,German Restaurant,53.5527240668893,10.0087611941861,602,Hamburg,Nightlife Spot,0.9,POINT (10.0087611941861 53.5527240668893)
Veuve Clicquot,Wine Bar,53.55293926695286,9.991467358334763,873,Hamburg,Nightlife Spot,0.9,POINT (9.991467358334763 53.55293926695286)
M&V Bar,Gay Bar,53.55596000863462,10.00940877160969,442,Hamburg,Nightlife Spot,0.9,POINT (10.00940877160969 53.55596000863462)
Hofbräu Wirtshaus Esplanade,Bavarian Restaurant,53.5577477621795,9.992048068875492,724,Hamburg,Nightlife Spot,0.9,POINT (9.992048068875492 53.5577477621795)
Hofbräu Wirtshaus am Speersort,Bavarian Restaurant,53.54954609888491,9.99783878103036,881,Hamburg,Nightlife Spot,0.9,POINT (9.99783878103036 53.54954609888491)
Le Lion,Cocktail Bar,53.55021,9.994526,925,Hamburg,Nightlife Spot,0.9,POINT (9.994526 53.55021)
Brooklyn Burger Bar,Burger Joint,53.54866568794967,9.996709782288885,1001,Hamburg,Nightlife Spot,0.9,POINT (9.996709782288885 53.54866568794967)
Cafe Ponton,Café,53.552284815355605,9.990624282470778,959,Hamburg,Nightlife Spot,0.9,POINT (9.990624282470778 53.55228481535561)
Sands,Cocktail Bar,53.55966656105084,9.989644860506747,930,Hamburg,Nightlife Spot,0.9,POINT (9.989644860506747 53.55966656105084)
Irish Pub in the Fleetenkieker,Irish Pub,53.54868564944223,9.992608090274839,1137,Hamburg,Nightlife Spot,0.9,POINT (9.992608090274839 53.54868564944223)
Campari Lounge,Hotel Bar,53.561095875044764,10.014862709122966,920,Hamburg,Nightlife Spot,0.9,POINT (10.01486270912297 53.56109587504476)
Paulaner's,German Restaurant,53.55346418308647,10.008375801154623,524,Hamburg,Nightlife Spot,0.9,POINT (10.00837580115462 53.55346418308647)
Porta Nova,Italian Restaurant,53.547336402246124,9.996939184964836,1132,Hamburg,Nightlife Spot,0.9,POINT (9.996939184964836 53.54733640224612)
Meyer Lansky's,Cocktail Bar,53.55577763282695,9.987495084635597,1025,Hamburg,Nightlife Spot,0.9,POINT (9.987495084635597 53.55577763282695)
Das Parlament,German Restaurant,53.55007390261796,9.992970981821431,1002,Hamburg,Nightlife Spot,0.9,POINT (9.992970981821431 53.55007390261796)
Bodos Bootssteg,Café,53.56730541671698,10.001756884745618,1163,Hamburg,Nightlife Spot,0.9,POINT (10.00175688474562 53.56730541671698)
Kyti Voo Cafe & Bar,Bar,53.558264058771435,10.01244243741571,649,Hamburg,Nightlife Spot,0.9,POINT (10.01244243741571 53.55826405877144)
Chay,Vegetarian / Vegan Restaurant,53.55256,10.00183,485,Hamburg,Vegetarian / Vegan Restaurant,0.18,POINT (10.00183 53.55256)
An Vegan House,Vegetarian / Vegan Restaurant,53.558748,10.01275,683,Hamburg,Vegetarian / Vegan Restaurant,0.18,POINT (10.01275 53.558748)
